city_name,total_revenue,total_rent,total_cx,estimated_coffee_consumer_in_millions,avg_sale_pr_cx,avg_rent_per_cx
Pune,1258290,15300,52,1.875,24197.88,294.23
Chennai,944120,17100,42,2.775,22479.05,407.14
Bangalore,860110,29700,39,3.075,22054.1,761.54
Jaipur,803450,10800,69,1.000,11644.2,156.52
Delhi,750420,22500,68,7.750,11035.59,330.88
Mumbai,235000,31500,27,5.100,8703.7,1166.67
Kanpur,213550,8100,35,0.775,6101.43,231.43
Surat,176540,13500,27,1.800,6538.52,500
Kolkata,171460,16200,28,3.725,6123.57,578.57
Nagpur,140050,7200,24,0.725,5835.42,300
Indore,138590,6300,21,0.825,6599.52,300
Ahmedabad,137690,14400,23,2.075,5986.52,626.09
Hyderabad,131520,22500,21,2.500,6262.86,1071.43
Lucknow,109400,9000,21,0.950,5209.52,428.57
