city_name,month,year,cr_month_sale,last_month_sale,growth_ratio
Ahmedabad,2,2023,4100,3750,9.33
Ahmedabad,3,2023,3050,4100,-25.61
Ahmedabad,4,2023,4040,3050,32.46
Ahmedabad,5,2023,2550,4040,-36.88
Ahmedabad,6,2023,2900,2550,13.73
Ahmedabad,7,2023,2800,2900,-3.45
Ahmedabad,8,2023,4300,2800,53.57
Ahmedabad,9,2023,8250,4300,91.86
Ahmedabad,10,2023,10950,8250,32.73
Ahmedabad,11,2023,21250,10950,94.06
Ahmedabad,12,2023,11360,21250,-46.54
Ahmedabad,1,2024,12090,11360,6.43
Ahmedabad,2,2024,10900,12090,-9.84
Ahmedabad,3,2024,14000,10900,28.44
Ahmedabad,4,2024,3950,14000,-71.79
Ahmedabad,5,2024,5250,3950,32.91
Ahmedabad,6,2024,3300,5250,-37.14
Ahmedabad,7,2024,2700,3300,-18.18
Ahmedabad,8,2024,3550,2700,31.48
Ahmedabad,9,2024,2650,3550,-25.35
Bangalore,2,2023,24750,36890,-32.91
Bangalore,3,2023,26120,24750,5.54
Bangalore,4,2023,23520,26120,-9.95
Bangalore,5,2023,37790,23520,60.67
Bangalore,6,2023,37790,37790,0
Bangalore,7,2023,33120,37790,-12.36
Bangalore,8,2023,31050,33120,-6.25
Bangalore,9,2023,71700,31050,130.92
Bangalore,10,2023,102050,71700,42.33
Bangalore,11,2023,106100,102050,3.97
Bangalore,12,2023,62630,106100,-40.97
Bangalore,1,2024,48850,62630,-22
Bangalore,2,2024,60650,48850,24.16
Bangalore,3,2024,57500,60650,-5.19
Bangalore,4,2024,12900,57500,-77.57
Bangalore,5,2024,17850,12900,38.37
Bangalore,6,2024,16600,17850,-7
Bangalore,7,2024,15300,16600,-7.83
Bangalore,8,2024,13450,15300,-12.09
Bangalore,9,2024,23500,13450,74.72
Chennai,2,2023,34140,33340,2.4
Chennai,3,2023,30050,34140,-11.98
Chennai,4,2023,37520,30050,24.86
Chennai,5,2023,39270,37520,4.66
Chennai,6,2023,28960,39270,-26.25
Chennai,7,2023,38190,28960,31.87
Chennai,8,2023,27850,38190,-27.08
Chennai,9,2023,76500,27850,174.69
Chennai,10,2023,124650,76500,62.94
Chennai,11,2023,105700,124650,-15.2
Chennai,12,2023,72150,105700,-31.74
Chennai,1,2024,50100,72150,-30.56
Chennai,2,2024,63500,50100,26.75
Chennai,3,2024,75950,63500,19.61
Chennai,4,2024,16500,75950,-78.28
Chennai,5,2024,16000,16500,-3.03
Chennai,6,2024,11500,16000,-28.12
Chennai,7,2024,18500,11500,60.87
Chennai,8,2024,20400,18500,10.27
Chennai,9,2024,23000,20400,12.75
Chennai,10,2024,350,23000,-98.48
Delhi,2,2023,16120,15680,2.81
Delhi,3,2023,25000,16120,55.09
Delhi,4,2023,23230,25000,-7.08
Delhi,5,2023,17190,23230,-26
Delhi,6,2023,20790,17190,20.94
Delhi,7,2023,22790,20790,9.62
Delhi,8,2023,17100,22790,-24.97
Delhi,9,2023,56200,17100,228.65
Delhi,10,2023,85150,56200,51.51
Delhi,11,2023,67650,85150,-20.55
Delhi,12,2023,85690,67650,26.67
Delhi,1,2024,49880,85690,-41.79
Delhi,2,2024,60400,49880,21.09
Delhi,3,2024,77800,60400,28.81
Delhi,4,2024,18150,77800,-76.67
Delhi,5,2024,27450,18150,51.24
Delhi,6,2024,13200,27450,-51.91
Delhi,7,2024,13150,13200,-0.38
Delhi,8,2024,19450,13150,47.91
Delhi,9,2024,17450,19450,-10.28
Delhi,10,2024,900,17450,-94.84
Hyderabad,2,2023,4150,2170,91.24
Hyderabad,3,2023,3200,4150,-22.89
Hyderabad,4,2023,3050,3200,-4.69
